EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-05-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 234717) of station KREMS, AUSTRIA (STAID:  24702)

 STAID,    SOUID,    DATE,   RR, Q_RR
 24702,234717,19360928,    0,    0
 24702,234717,19360929,    0,    0
 24702,234717,19360930,    0,    0
 24702,234717,19361001,   49,    0
 24702,234717,19361002,    0,    0
 24702,234717,19361003,    0,    0
 24702,234717,19361004,    0,    0
 24702,234717,19361005,    9,    0
 24702,234717,19361006,   41,    0
 24702,234717,19361007,   80,    0
 24702,234717,19361008,   26,    0
 24702,234717,19361009,    2,    0
 24702,234717,19361010,   11,    0
 24702,234717,19361011,   14,    0
 24702,234717,19361012,    0,    0
 24702,234717,19361013,    0,    0
 24702,234717,19361014,   14,    0
 24702,234717,19361015,    0,    0
 24702,234717,19361016,    0,    0
 24702,234717,19361017,    0,    0
 24702,234717,19361018,    0,    0
 24702,234717,19361019,    0,    0
 24702,234717,19361020,    5,    0
 24702,234717,19361021,   23,    0
 24702,234717,19361022,    2,    0
 24702,234717,19361023,   10,    0
 24702,234717,19361024,    0,    0
 24702,234717,19361025,    0,    0
 24702,234717,19361026,   29,    0
 24702,234717,19361027,   35,    0
 24702,234717,19361028,    2,    0
 24702,234717,19361029,  205,    0
 24702,234717,19361030,  136,    0
 24702,234717,19361031,   35,    0
 24702,234717,19361101,  154,    0
 24702,234717,19361102,   30,    0
 24702,234717,19361103,    0,    0
 24702,234717,19361104,    0,    0
 24702,234717,19361105,    0,    0
 24702,234717,19361106,    0,    0
 24702,234717,19361107,    0,    0
 24702,234717,19361108,    0,    0
 24702,234717,19361109,    0,    0
 24702,234717,19361110,    3,    0
 24702,234717,19361111,    0,    0
 24702,234717,19361112,    0,    0
 24702,234717,19361113,    0,    0
 24702,234717,19361114,    0,    0
 24702,234717,19361115,    0,    0
 24702,234717,19361116,    0,    0
 24702,234717,19361117,   10,    0
 24702,234717,19361118,    2,    0
 24702,234717,19361119,    1,    0
 24702,234717,19361120,    0,    0
 24702,234717,19361121,    0,    0
 24702,234717,19361122,    0,    0
 24702,234717,19361123,    0,    0
 24702,234717,19361124,    0,    0
 24702,234717,19361125,    0,    0
 24702,234717,19361126,    0,    0
 24702,234717,19361127,    0,    0
 24702,234717,19361128,    0,    0
 24702,234717,19361129,    0,    0
 24702,234717,19361130,    5,    0
 24702,234717,19361201,   28,    0
 24702,234717,19361202,    6,    0
 24702,234717,19361203,    0,    0
 24702,234717,19361204,    3,    0
 24702,234717,19361205,    0,    0
 24702,234717,19361206,    0,    0
 24702,234717,19361207,    0,    0
 24702,234717,19361208,    0,    0
 24702,234717,19361209,    0,    0
 24702,234717,19361210,    0,    0
 24702,234717,19361211,    0,    0
 24702,234717,19361212,    0,    0
 24702,234717,19361213,    0,    0
 24702,234717,19361214,    0,    0
 24702,234717,19361215,    0,    0
 24702,234717,19361216,    0,    0
 24702,234717,19361217,   19,    0
 24702,234717,19361218,    1,    0
 24702,234717,19361219,    1,    0
 24702,234717,19361220,    0,    0
 24702,234717,19361221,    0,    0
 24702,234717,19361222,    0,    0
 24702,234717,19361223,    0,    0
 24702,234717,19361224,    0,    0
 24702,234717,19361225,   17,    0
 24702,234717,19361226,    0,    0
 24702,234717,19361227,    0,    0
 24702,234717,19361228,    0,    0
 24702,234717,19361229,    0,    0
 24702,234717,19361230,    0,    0
 24702,234717,19361231,    0,    0
 24702,234717,19370101,    0,    0
 24702,234717,19370102,    0,    0
 24702,234717,19370103,    1,    0
 24702,234717,19370104,    0,    0
 24702,234717,19370105,    0,    0
 24702,234717,19370106,    1,    0
 24702,234717,19370107,   25,    0
 24702,234717,19370108,    0,    0
 24702,234717,19370109,    0,    0
 24702,234717,19370110,    0,    0
 24702,234717,19370111,    0,    0
 24702,234717,19370112,    0,    0
 24702,234717,19370113,    0,    0
 24702,234717,19370114,    0,    0
 24702,234717,19370115,    0,    0
 24702,234717,19370116,    0,    0
 24702,234717,19370117,    0,    0
 24702,234717,19370118,   12,    0
 24702,234717,19370119,   31,    0
 24702,234717,19370120,    3,    0
