Gars am Kamp;275m;23.4°;36 %;West, 29 km/h;46 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 17:50:04
Langenlois;209m;25.3°;32 %;West, 21 km/h;40 km/h;0.0 mm;98 %;1016.7 hPa;2022-05-21 17:50:04
Krems;203m;24.8°;31 %;Südwest, 18 km/h;35 km/h;0.0 mm;99 %;1016.1 hPa;2022-05-21 17:50:04
Bärnkopf;971m;17.7°;47 %;Südwest, 9 km/h;38 km/h;0.0 mm;96 %;k.A.;2022-05-21 17:50:04
Jauerling;961m;18.0°;47 %;West, 20 km/h;47 km/h;0.0 mm;94 %;k.A.;2022-05-21 17:50:04
Retz;320m;23.4°;38 %;West, 24 km/h;43 km/h;0.0 mm;75 %;1015.7 hPa;2022-05-21 17:50:04
Laa an der Thaya;184m;24.6°;34 %;Nordwest, 16 km/h;30 km/h;0.0 mm;69 %;1015.8 hPa;2022-05-21 17:50:04
Poysdorf;206m;23.7°;36 %;West, 9 km/h;28 km/h;0.0 mm;46 %;1016.0 hPa;2022-05-21 17:50:04
Hohenau;151m;24.2°;32 %;Nordwest, 15 km/h;35 km/h;0.0 mm;85 %;1016.2 hPa;2022-05-21 17:50:04
Schöngrabern;251m;23.4°;36 %;Nordwest, 30 km/h;45 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 17:50:04
Leiser Berge;458m;22.0°;40 %;Nordwest, 46 km/h;64 km/h;0.0 mm;99 %;1015.7 hPa;2022-05-21 17:50:04
Mistelbach;190m;24.3°;39 %;West, 21 km/h;39 km/h;0.0 mm;99 %;1016.0 hPa;2022-05-21 17:50:04
Wolkersdorf;186m;25.3°;36 %;Nordwest, 13 km/h;37 km/h;0.0 mm;100 %;1015.8 hPa;2022-05-21 17:50:04
Stockerau;205m;25.1°;29 %;Nordwest, 25 km/h;52 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 17:50:04
Gänserndorf;164m;24.9°;37 %;West, 26 km/h;42 km/h;0.0 mm;100 %;1015.6 hPa;2022-05-21 17:50:04
Zwerndorf;146m;24.3°;36 %;Nordwest, 21 km/h;41 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 17:50:04
Groß-Enzersdorf;153m;25.8°;31 %;West, 17 km/h;41 km/h;0.0 mm;100 %;1015.7 hPa;2022-05-21 17:50:04
Langenlebarn;177m;25.3°;33 %;West, 31 km/h;46 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 17:50:04
Buchberg;467m;21.3°;44 %;West, 58 km/h;83 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 17:50:04
St. Pölten;270m;24.2°;33 %;Südwest, 30 km/h;57 km/h;0.0 mm;100 %;1016.4 hPa;2022-05-21 17:50:04
Melk;305m;23.1°;37 %;West, 31 km/h;55 km/h;n.v.;100 %;1017.0 hPa;2022-05-21 17:50:04
Amstetten;264m;24.2°;34 %;West, 16 km/h;43 km/h;0.0 mm;100 %;1017.1 hPa;2022-05-21 17:50:04
Wieselburg;259m;24.4°;36 %;West, 15 km/h;41 km/h;0.0 mm;100 %;1017.3 hPa;2022-05-21 17:50:04
