Schwechat Flughafen;183m;15.7°;58 %;Nordwest, 13 km/h;22 km/h;0.0 mm;95 %;1017.7 hPa;2022-05-22 07:50:03
Brunn am Gebirge;290m;15.8°;58 %;Nordwest, 8 km/h;19 km/h;n.v.;82 %;1017.7 hPa;2022-05-22 07:50:03
Wien Hohe Warte;209m;16.1°;56 %;Nord, 13 km/h;28 km/h;0.0 mm;17 %;1017.4 hPa;2022-05-22 08:50:03
Wien Innere Stadt;177m;16.5°;53 %;Nordwest, 14 km/h;31 km/h;0.0 mm;11 %;1017.7 hPa;2022-05-22 08:50:03
Wien Stammersdorf;188m;15.4°;63 %;Nordwest, 8 km/h;24 km/h;0.0 mm;33 %;1017.8 hPa;2022-05-22 08:50:03
Wien Donaufeld;162m;16.2°;58 %;Nordwest, 8 km/h;19 km/h;0.0 mm;15 %;1017.6 hPa;2022-05-22 08:50:03
Wien Unterlaa;200m;16.1°;53 %;Nord, 16 km/h;23 km/h;0.0 mm;13 %;1017.3 hPa;2022-05-22 08:50:03
Wien Mariabrunn;227m;14.9°;70 %;West, 2 km/h;8 km/h;0.0 mm;1 %;1017.8 hPa;2022-05-22 08:50:03
Wien Jubiläumswarte;451m;13.6°;71 %;Nord, 17 km/h;29 km/h;0.0 mm;4 %;1017.7 hPa;2022-05-22 08:50:03
Groß-Enzersdorf;153m;15.9°;60 %;Nordwest, 16 km/h;25 km/h;0.0 mm;35 %;1017.6 hPa;2022-05-22 08:50:03
Schwechat Flughafen;183m;16.0°;58 %;Nord, 13 km/h;22 km/h;0.0 mm;43 %;1017.5 hPa;2022-05-22 08:50:03
Brunn am Gebirge;290m;15.3°;60 %;Nordwest, 6 km/h;21 km/h;n.v.;21 %;1017.7 hPa;2022-05-22 08:50:03
Wien Hohe Warte;209m;16.6°;56 %;Nordwest, 12 km/h;22 km/h;0.0 mm;0 %;1017.1 hPa;2022-05-22 09:50:02
Wien Innere Stadt;177m;17.4°;50 %;Nordwest, 9 km/h;30 km/h;0.0 mm;0 %;1017.3 hPa;2022-05-22 09:50:02
Wien Stammersdorf;188m;16.6°;59 %;Nordwest, 8 km/h;18 km/h;0.0 mm;14 %;1017.3 hPa;2022-05-22 09:50:02
Wien Donaufeld;162m;17.3°;54 %;Nordwest, 9 km/h;19 km/h;0.0 mm;8 %;1017.0 hPa;2022-05-22 09:50:02
Wien Unterlaa;200m;16.8°;52 %;Nordwest, 13 km/h;23 km/h;0.0 mm;0 %;1016.9 hPa;2022-05-22 09:50:02
Wien Mariabrunn;227m;16.1°;60 %;Nordwest, 4 km/h;12 km/h;0.0 mm;0 %;1017.2 hPa;2022-05-22 09:50:02
Wien Jubiläumswarte;451m;14.9°;69 %;Nordwest, 15 km/h;23 km/h;0.0 mm;0 %;1017.2 hPa;2022-05-22 09:50:02
Groß-Enzersdorf;153m;17.1°;59 %;Nordwest, 15 km/h;25 km/h;0.0 mm;13 %;1017.2 hPa;2022-05-22 09:50:02
Schwechat Flughafen;183m;16.8°;56 %;Nord, 13 km/h;22 km/h;0.0 mm;2 %;1017.2 hPa;2022-05-22 09:50:02
Brunn am Gebirge;290m;16.0°;60 %;Nordwest, 5 km/h;15 km/h;n.v.;0 %;1017.3 hPa;2022-05-22 09:50:02
Wien Hohe Warte;209m;18.5°;51 %;Nordwest, 8 km/h;25 km/h;0.0 mm;86 %;1016.5 hPa;2022-05-22 10:50:04
Wien Innere Stadt;177m;18.5°;47 %;Nordwest, 11 km/h;25 km/h;0.0 mm;53 %;1016.8 hPa;2022-05-22 10:50:04
Wien Stammersdorf;188m;18.5°;56 %;West, 7 km/h;22 km/h;0.0 mm;87 %;1016.6 hPa;2022-05-22 10:50:04
Wien Donaufeld;162m;19.1°;48 %;Nordwest, 8 km/h;24 km/h;0.0 mm;86 %;1016.5 hPa;2022-05-22 10:50:04
Wien Unterlaa;200m;18.3°;48 %;West, 12 km/h;22 km/h;0.0 mm;49 %;1016.5 hPa;2022-05-22 10:50:04
Wien Mariabrunn;227m;17.4°;56 %;Nordwest, 4 km/h;14 km/h;0.0 mm;3 %;1016.8 hPa;2022-05-22 10:50:04
Wien Jubiläumswarte;451m;16.4°;65 %;Nordwest, 15 km/h;24 km/h;0.0 mm;25 %;1016.7 hPa;2022-05-22 10:50:04
Groß-Enzersdorf;153m;18.2°;48 %;Nordwest, 13 km/h;29 km/h;0.0 mm;92 %;1016.9 hPa;2022-05-22 10:50:04
Schwechat Flughafen;183m;18.6°;49 %;Nordwest, 17 km/h;28 km/h;0.0 mm;84 %;1016.8 hPa;2022-05-22 10:50:04
