Bernstein;633m;16.2°;67 %;Süd, 8 km/h;19 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-23 21:50:03
Rechnitz;309m;17.9°;61 %;Süd, 5 km/h;11 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-23 21:50:03
Bad Tatzmannsdorf;347m;18.0°;61 %;Süd, 1 km/h;10 km/h;0.0 mm;n.v.;n.v.;2022-05-23 21:50:03
Kroisegg;446m;16.9°;73 %;Südost, 2 km/h;14 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-23 21:50:03
Kleinzicken;267m;18.0°;62 %;Südost, 7 km/h;9 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-23 21:50:03
Wörterberg;404m;18.4°;62 %;Südost, 5 km/h;14 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-23 21:50:03
Güssing;217m;19.0°;63 %;Ost, 4 km/h;8 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-23 21:50:03
Bruckneudorf;166m;19.1°;47 %;Südost, 10 km/h;24 km/h;0.0 mm;0 %;1007.4 hPa;2022-05-23 22:50:03
Neusiedl am See;119m;18.8°;51 %;Südost, 8 km/h;21 km/h;0.0 mm;0 %;1007.7 hPa;2022-05-23 22:50:03
Podersdorf;116m;18.3°;56 %;Südost, 11 km/h;19 km/h;0.0 mm;0 %;n.v.;2022-05-23 22:50:03
Eisenstadt;182m;18.2°;60 %;Ost, 10 km/h;21 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-23 22:50:03
Andau;119m;18.0°;55 %;Südost, 13 km/h;19 km/h;0.0 mm;0 %;1008.4 hPa;2022-05-23 22:50:03
Mattersburg;284m;18.8°;55 %;Süd, 8 km/h;20 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-23 22:50:03
Neudorf/Landsee;429m;16.8°;66 %;Süd, 10 km/h;25 km/h;0.0 mm;0 %;n.v.;2022-05-23 22:50:03
Lutzmannsburg;200m;17.4°;64 %;Südost, 5 km/h;14 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-23 22:50:03
Bernstein;633m;14.8°;79 %;Südwest, 4 km/h;17 km/h;0.3 mm;0 %;1008.7 hPa;2022-05-23 22:50:03
Rechnitz;309m;17.6°;67 %;West, 4 km/h;8 km/h;0.0 mm;0 %;1008.7 hPa;2022-05-23 22:50:03
Bad Tatzmannsdorf;347m;16.9°;77 %;Windstille;5 km/h;0.1 mm;n.v.;n.v.;2022-05-23 22:50:03
Kroisegg;446m;15.3°;89 %;Nordwest, 4 km/h;8 km/h;0.5 mm;0 %;1008.8 hPa;2022-05-23 22:50:03
Kleinzicken;267m;17.3°;73 %;Nord, 2 km/h;11 km/h;0.0 mm;0 %;1008.5 hPa;2022-05-23 22:50:03
Wörterberg;404m;17.6°;68 %;West, 1 km/h;12 km/h;0.0 mm;0 %;1008.2 hPa;2022-05-23 22:50:03
Güssing;217m;18.6°;65 %;Nordost, 3 km/h;7 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-23 22:50:03
Bruckneudorf;166m;18.0°;53 %;Ost, 9 km/h;23 km/h;0.0 mm;0 %;1007.1 hPa;2022-05-23 23:50:04
Neusiedl am See;119m;18.7°;53 %;Südost, 8 km/h;23 km/h;0.0 mm;0 %;1007.5 hPa;2022-05-23 23:50:04
Podersdorf;116m;18.1°;58 %;Südost, 10 km/h;21 km/h;0.0 mm;0 %;n.v.;2022-05-23 23:50:04
Eisenstadt;182m;17.9°;62 %;Ost, 13 km/h;17 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-23 23:50:04
Andau;119m;18.0°;57 %;Südost, 12 km/h;19 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-23 23:50:04
Mattersburg;284m;18.1°;61 %;Süd, 15 km/h;31 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-23 23:50:04
Neudorf/Landsee;429m;15.5°;78 %;Südwest, 12 km/h;24 km/h;0.4 mm;0 %;n.v.;2022-05-23 23:50:04
Lutzmannsburg;200m;17.1°;68 %;Süd, 5 km/h;12 km/h;0.1 mm;0 %;1007.8 hPa;2022-05-23 23:50:04
Bernstein;633m;14.8°;77 %;West, 6 km/h;18 km/h;0.0 mm;0 %;1008.6 hPa;2022-05-23 23:50:04
Rechnitz;309m;17.6°;66 %;West, 6 km/h;11 km/h;0.0 mm;0 %;1008.3 hPa;2022-05-23 23:50:04
Bad Tatzmannsdorf;347m;16.2°;83 %;Windstille;3 km/h;0.1 mm;n.v.;n.v.;2022-05-23 23:50:04
Kroisegg;446m;15.2°;92 %;Nord, 5 km/h;13 km/h;0.5 mm;0 %;1008.8 hPa;2022-05-23 23:50:04
Kleinzicken;267m;16.6°;78 %;West, 2 km/h;7 km/h;0.0 mm;0 %;1008.5 hPa;2022-05-23 23:50:04
Wörterberg;404m;16.6°;79 %;Nord, 11 km/h;17 km/h;0.0 mm;0 %;1008.3 hPa;2022-05-23 23:50:04
Güssing;217m;18.2°;68 %;Südwest, 3 km/h;9 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-23 23:50:04
Bruckneudorf;166m;18.8°;51 %;Südost, 16 km/h;31 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-24 00:50:04
Neusiedl am See;119m;17.5°;61 %;Südost, 7 km/h;19 km/h;0.0 mm;0 %;1007.5 hPa;2022-05-24 00:50:04
Podersdorf;116m;17.8°;61 %;Südost, 9 km/h;18 km/h;0.0 mm;0 %;n.v.;2022-05-24 00:50:04
